video_id,publish_time,title,channel_title,category_id,views,likes,videoDifficulty
cX9V3iNBUoo,2020-12-10,Qu’est-ce que l’intelligence artificielle ?,UNESCO,Nonprofits & Activism,46000,573,B2
WCxfpgRRgX8,2019-02-21,L’intelligence artificielle: Qu’est-ce que c’est ?,neodigital,Science & Technology,59000,670,B2
oLIIV1IXuig,2021-06-10,Cette vidéo t'explique le conflit historique entre Israël et Palestine,HugoDécrypte - Grands formats,Education,4000000,192000,B2
SMzWtsjauo0,2023-10-20,Pourquoi le conflit Israël-Palestine est si important ?,TAOQAN,News & Politics,201000,13000,B1
_ErqFxkxnc4,2023-08-17,Changer de Voix en Direct grâce à l'IA : Guide Complet !,Marceau,Science & Technology,88000,4000,B2
A4yylZ3nCxw,2023-04-03,JO-2024 : à quoi va ressembler le village olympique ? • FRANCE 24,FRANCE 24,News & Politics,30000,187,B1
ASX4m_DZWkc,2018-07-08,La géographie du football,TéléCrayon,Education,158000,4000,B1
jaRcocp0WAA,2018-07-13,Le Christianisme dans le monde - Les pays qui comptent le plus de Chrétiens ?,TéléCrayon,Education,86000,2000,B2
DSs3M-ERSn4,2019-11-05,Les pays issus du colonialisme (les pays-colonies),TéléCrayon,Education,62000,2000,B2
Y2vGY_4fhK8,2019-10-17,Les pays qui ont encore des colonies !,TéléCrayon,Education,287000,6000,B2
rtI4tdb9-vE,2021-11-18,Quels pays ont déjà été communistes ?,TéléCrayon,Education,148000,5000,B1
8l3hY4B6oTQ,2021-01-23,Les Pays qui ne sont pas internationalement reconnus,TéléCrayon,Education,191000,6000,B2
BcF6HcdcOh4,2020-10-07,TOUTE L'HISTOIRE DE LA RUSSIE,TéléCrayon,Education,551000,18000,C1
fGYXJyS2qlI,2022-05-01,LA GUERRE DE CENT ANS expliquée en 15 minutes | Ep 08 Histoire de France,Histoires du Monde,Education,39000,1000,B1
bg0Mr10kgOs,2021-10-23,La guerre de cent ans - Français lent et compréhensible avec sous-titres,Français avec Fluidité,Education,6000,348,B2
-XnXZ-3fx9Q,2023-10-21,"7 erreurs à ne pas faire pour progresser en français | Français COURANT. S-titres, transcription PDF",Français avec Fluidité,Education,8000,498,B2
ou293T0a-fQ,2023-02-25,Tu faisais quoi avant ? Avec LISA| Dialogue en français COURANT avec sous-titres.,Français avec Fluidité,Education,22000,746,B2
UM8DIt293QA,2023-08-26,Pourquoi et comment mémoriser du VOCABULAIRE | Français COURANT + sous-titres  et transcription PDF.,Français avec Fluidité,Education,31000,1000,B2
p65EBC9lW9k,2023-10-21,What Do French People Actually Eat? | Easy French 189,Easy French,Entertainment,41000,1000,B1
__Cu2nwgAjA,2023-10-28,"100 French Words, Expressions & Sentences Every Beginner Should Know | Super Easy French 151",Easy French,Entertainment,17000,1000,B2
unmu4yKfBg0,2020-11-21,The French Describe Their Weekend | Easy French 116,Easy French,Education,636000,14000,B2
hXvoyKGwFJk,2023-05-26,LE VERRE : Ce matériau étrange et méconnu réconcilie l'art et la technologie...,ScienceEtonnante,Science & Technology,315000,19000,B1
RVB3PBPxMWg,2023-09-01,MIEUX APPRENDRE & ÉTUDIER : les (vraies) techniques scientifiques,ScienceEtonnante,Science & Technology,1000000,61000,B2
RVB3PBPxMWg,2023-09-01,MIEUX APPRENDRE & ÉTUDIER : les (vraies) techniques scientifiques,ScienceEtonnante,Science & Technology,1000000,61000,B2
YoLMNpbOmkc,2023-10-15,On observe le corps humain au microscope,Jamy - Epicurieux,Science & Technology,224000,10000,B1
n7-9hIcxm6s,2022-06-05,5 Catastrophes naturelles qui pourraient vraiment nous arriver | TOP 5,Jamy - Epicurieux,Science & Technology,778000,44000,B2
zRQILXgbAIE,2023-10-30,Survivre Aux Catastrophes Naturelles Les Plus Dangereuses,Poisson Fécond,Education,177000,9000,B2
ux2JuPglPhU,2021-07-17,🥇 La drôle d'histoire des JO (Jeux Olympiques),Jamy - Epicurieux,Science & Technology,212000,9000,B2
bE2knZEWidY,2023-10-22,On crée la bière ÉPICURIEUSE 🍻,Jamy - Epicurieux,Science & Technology,96000,6000,B1
yKgaS_O1kDo,2023-10-01,Les ORAGES sont-ils DANGEREUX ?,Jamy - Epicurieux,Science & Technology,236000,13000,B1
jr3Owa11i7M,2019-10-10,La PRISE DE NOTE Rapide et Efficace - Méthodologie - Tous Niveaux 📝,Les Sherpas,Education,135000,5000,B1
VzaF5dvvo4I,2021-11-25,LA prise de notes parfaite  - Méthode Cornell 📝,Les Sherpas,Education,109000,7000,A1
MMvzA5SfBGk,2018-09-09,"13 conseils pour mieux apprendre, par le neuroscientifique Stanislas Dehaene",France Culture,Education,197000,3000,B2
fr97njyRkfs,2022-11-10,LA méthode pour apprendre (vite et bien) ☄️,Les Sherpas,Education,33000,2000,B1
MsNPss3BtRo,2016-11-29,Un seul conseil pour se sortir de la procrastination,LeHuffPost,People & Blogs,117000,3000,B2
Fxu8vsMi7Ws,2023-06-09,Comment trouver sa voie quand on s’intéresse à tout ? | Paolo Z | TEDxGEM,TEDx Talks,Nonprofits & Activism,177000,4000,B2
9dZNfc5VmU0,2016-09-26,Comment apprendre ses cours et ses examens - Mémoire,FabienOlicard,Entertainment,549000,24000,B2
-NS-0OVXVi0,2022-03-30,Comment travailler sa mémoire : 3 astuces qui marchent pour mémoriser sur le long terme,Mohamed Boclet,Education,39000,2000,B2
kfDmx3AVqME,2022-11-14,TOUT apprendre en 48 heures (la technique parfaite),FabienOlicard,Entertainment,183000,10000,B2
Zjz5-ITf26o,2022-04-06,Retiens TOUS tes cours ! 👌 ✨,Les Sherpas,Education,22000,1000,B1
fxaluu6CWjI,2022-10-02,La méthode des répétitions espacées - Les bonnes méthodes - collège / lycée - Les Bons Profs,Les Bons Profs,Education,3000,154,B2
KELrUFx_XA4,2023-03-15,Choisir entre Notion et Obsidian ? En 3 minutes.,Thibaut Lopes,Education,16000,429,B2
BBhXM_6hjlI,2020-10-20,Comment utiliser des câbles de démarrage ? - Tutoriel Oscaro,Oscaro,Autos & Vehicles,360000,1000,B2
iWm8a-aQF8A,2022-10-28,Essai Microlino. Au volant de l’Isetta du 21ème siècle,L'argus,Autos & Vehicles,84000,1000,B2
egPxrB_-Aw4,2023-04-24,Je réagis à vos pitchs - Épisode 01,Eric Larchevêque,People & Blogs,10000,334,B2
MJmpQA_RWMM,2023-05-08,Je réagis à vos pitchs - Épisode 02,Eric Larchevêque,People & Blogs,8000,231,C1
C5VG95nKO8M,2022-03-04,Français de Belgique vs Français de France (Belgicismes),Français avec Pierre,Education,57000,3000,B2
SoXimLixXT4,2023-09-01,EXCLU Essai nouvelle Tesla Model 3 (2024) : plus douce et plus sage !,Automobile Propre,Autos & Vehicles,282000,8000,B2
_9mN6T5IRa0,2021-02-12,La méthode lean (lean management),StrategeMarketing,Education,43000,555,B2
suNVaL3LW1E,2018-07-31,Comment changer une roue de voiture ?,La mécanique par une fille,Autos & Vehicles,124000,970,B2
9LWAjeG_dKs,2020-10-08,Le système éducatif français 👩‍🎓👨‍🎓,Français avec Pierre,Education,178000,5000,B2
HWs9dcvnDLg,2021-02-15,Comment suivre un cours ?,NELLAPP,People & Blogs,1000,2,C1
oRi3EMoSckY,2022-09-09,PourQuoi un scooter est mieux qu'ne moto ?,The Choucroute Garage,Autos & Vehicles,42000,1000,C2
0e9S9YekxrU,2022-03-20,COMMENT TRAVAILLER PLUS EFFICACEMENT avec la règle 80/20 *astuces productivité*,Evadaptable,Howto & Style,256000,15000,A2
QsJZxAhkXT8,2022-05-31,Comment bien s'organiser au travail ?,Isabelle Cougnaud,Howto & Style,9000,133,B2
xvL0pNNVcuY,2021-09-09,Planning de travail : cette méthode va CHANGER ta VIE (et ton organisation) ! 🗓,Les Sherpas,Education,49000,3000,B2
1b9kiAWkTR8,2016-09-22,Comment se concentrer en 2mns,FabienOlicard,Entertainment,956000,48000,B2
NI3RjX5DqKQ,2022-06-13,Doudou 2022 : succès de foule pour le retour de la Ducasse de Mons - JT RTBF,RTBF Info,News & Politics,17000,103,B1
kMAqyCxxazI,2022-03-20,7 techniques pour une CONCENTRATION maximale ! ⚡️,Les Sherpas,Education,32000,2000,B1
0_jSwbfIcz8,2018-04-26,Comment améliorer sa mémoire ? Les conseils du champion de France de mémorisation,Le Monde,News & Politics,634000,17000,B1
Yn-gTD-05x4,2020-09-18,LA METHODE CORNELL : La prise de note EFFICACE,Potion de vie,Education,239000,11000,B2
Jq-xC_6nr6o,2017-10-18,La prise de notes - méthodo - tous niveaux,L'Antiseche,Education,625000,32000,B1
x7keXzDJj7A,2022-02-02,Prendre des notes EFFICACES en 5 étapes ✍️,Les Sherpas,Education,13000,837,B1
m5MJ6OGhV8c,2022-10-17,Voici la méthode d'apprentissage PARFAITE !,Potion de vie,Education,354000,12000,B1
e1gvhFjKmVQ,2021-05-05,7 CLÉS POUR RETENIR FACILEMENT L'INFORMATION,Mohamed Boclet,Education,260000,17000,C1
nNXgTGp6_H8,2018-06-19,2 exercices pour booster votre concentration,Potion de vie,Education,80000,2000,B2
0Hlq42fQACw,2019-03-02,"Comment Mémoriser à long terme (Courbe de l'oubli, Ebbinghaus et répétitions espacées)",Potion de vie,Education,120000,4000,C1
Bh-YVFMbiL4,2020-09-09,Comment améliorer sa mémoire,Charlie Haid,Entertainment,9000,1000,B2
5QY8OIt-Alo,2020-09-25,[Minute Mémoire] Mémoire et Apprentissage  - Laurence Taconnat,Observatoire B2V des Mémoires ,Nonprofits & Activism,927,21,B1
m25x6XPaq_Y,2023-02-21,"Binche : le carnaval reprend ses droits, record de participation et d'engouement - RTBF Info",RTBF Info,News & Politics,8000,94,A2
X9xkSalTss4,2019-02-27,6 techniques MECONNUES pour MÉMORISER 3 fois plus vite (et mieux retenir),Aideauxtd - Vidéos de droit,Howto & Style,1000000,39000,B2
6iZBMk3iV5I,2019-12-10,"Pour Réussir tes Études, Regarde Ça  |  Motivation Etude  | H5 Motivation",H5 Motivation,Howto & Style,1000000,50000,B1
C6DrDpt9jJM,2020-05-23,Comment augmenter sa concentration et sa productivité grâce au FLOW? Expérience optimale,Fil d'inspiration,Education,25000,1000,C1
cuYPBoutKxU,2021-12-12,Ma méthode de productivité extrême (deep work),Ξmilio,Howto & Style,191000,12000,B1
lXfeeeHIGTA,2023-03-11,TOUT sur La Belgique | Podcast en français COURANT avec sous-titres.,Français avec Fluidité,Education,120000,5000,B1
DirZ1YTqkiw,2021-03-22,4 applications que j'utilise pour donner des cours de langues en ligne,apprendreunelangue,Education,8000,279,B2
L_ay4DSf6f4,2018-11-16,Ne fais pas ça si tu veux améliorer ta prononciation,Français Authentique,Education,97000,3000,A1
SIeGK3bL8gU,2014-09-22,Immersion linguistique,Hicham Jirari,Education,453,7,B1
2mi3NM4YX10,2023-04-10,La routine parfaite pour apprendre le français,Français Authentique,Education,57000,3000,A2
z-TPeI6M8lA,2020-10-27,Tu peux mieux parler français dans 30 jours,Français Authentique,Education,3000000,144000,B1
UCcTirwxZtU,2023-10-18,Une journée en français au PAYS BASQUE,Piece of French,Education,27000,1000,B2
0rKCoK6xqlk,2020-10-16,Comment DÉGUSTER un VIN ? Les 4 étapes simples de la dégustation 🍷,Apprendre le vin - VINO LOVERS,Education,43000,1000,B2
56Pam5A1KXY,2020-10-13,Commencer le travail du cuir sans outils et sans argent !,Histoire Appliquée,Education,56000,4000,A2
dveWOEu2QGc,2018-10-10,COMMENT FAIRE UN BRACELET EN CUIR - les étapes pour réussir facilement,Ma Rock'inerie,Education,22000,1000,B2
WgQ6p7vwRgM,2022-05-19,AVATAR - CRITIQUE (avec spoilers),CLAPMAN,People & Blogs,19000,1000,B2
JwOTA5a2mK0,2018-07-30,⚡ Pourquoi le triphasé ? - HS - Monsieur Bidouille,Monsieur Bidouille,Science & Technology,325000,17000,B1
1TAU7MsTXKM,2022-05-31,Pourquoi faut-il éviter les hybrides rechargeables ?,Max BLD,Autos & Vehicles,74000,711,B2
ZAIsrw9AfkY,2023-05-01,La fin de la voiture à essence ? | ARTE Info Plus,ARTE,News & Politics,159000,1000,B1
WkDR0b_BukA,2023-04-30,2023 : LES MARQUES DE VOITURE LES PLUS FIABLES,Voitures & Ingénierie,Autos & Vehicles,325000,7000,B1
osZk7b-5ehU,2023-07-12,Mission Impossible : Tom Cruise a pris de gros risques sur les tournages !,AlloCiné,Film & Animation,23000,1000,B2
FYuy_dOtek8,2022-07-17,Les 10 entreprises automobiles les plus riches du monde en 2022,LE RIZEUR,News & Politics,302000,4000,B1
1k0jV01eo7c,2023-07-08,Steven Spielberg en 9 minutes | Blow Up | ARTE Cinema,ARTE Cinema,Entertainment,20000,647,B2
gGcxHv0eBlM,2020-10-30,Qui veut être mon associé M6 - La Vie est Belt,LA VIE EST BELT,Howto & Style,157000,1000,B2
VEudfP02kpM,2023-08-01,L'Histoire de Steven Spielberg,Gaspard G,News & Politics,228000,10000,A2
ySsfK78OlWI,2023-03-19,L'Histoire de Bill Gates,Gaspard G,News & Politics,426000,16000,B1
ILjbb6fUvms,2023-08-24,"Comment cette étudiante a braqué le game des startup sur ""Qui Veut Être Mon Associé""",Les CoFounders - Yoann et Gabriel,People & Blogs,9000,218,A2
kw7bpnrDblM,2022-10-30,L'Histoire de Jeff Bezos,Gaspard G,News & Politics,552000,19000,B2
0UBUJZ9VdbA,2022-07-31,L'Histoire d'Elon Musk,Gaspard G,News & Politics,1000000,42000,B2
WuI9mhNJn2Y,2022-03-13,L'Histoire d'Emmanuel Macron,Gaspard G,News & Politics,1000000,44000,B1
YcOnjDRzrhQ,2020-10-05,4 noeuds simples et indispensables (en survie comme au quotidien),Dylan Trekking,Travel & Events,71000,901,B1
tNa27oTiq4k,2021-10-10,10 noeuds INDISPENSABLES à connaître !,Mike Horn,Entertainment,130000,7000,A2
QkTXVTqbDXo,2020-12-06,4 MANIÈRES DE FAIRE UN CAMPEMENT AVEC 1 BÂCHE !,Mike Horn,Entertainment,268000,13000,B2
sOSboG1eKyM,2021-05-01,🇨🇭 La Suisse : un pays riche en paysages et culture,Jamy - Epicurieux,Travel & Events,758000,21000,A1
-4yOWZJ2JCs,2023-03-20,Les 10 plus belles villes de Suisse,Guide Goyav,Travel & Events,24000,6000,B1
k14yhfDqn0o,2020-06-13,"La Suisse, pays de randonneurs",Le Temps,Sports,3000,36,B1
dgrasUlIM8k,2023-02-03,MATÉRIEL DE RANDONNÉE DECATHLON PAS CHER POUR DÉBUTER !,Trek Attitude,Entertainment,131000,4000,B2
0Jtry6syRoI,2022-07-14,J'ai testé le MacBook Air (M2) en avant-première !,TheiCollection,Science & Technology,248000,9000,B1
owUEcu_m4j8,2022-07-20,MacBook Air (M1) VS MacBook Air (M2),TheiCollection,Science & Technology,253000,6000,B1
o24pjtmNvY0,2023-10-29,Décès de Matthew Perry : on a perdu un ami,TF1 INFO,Entertainment,26000,327,B1
OJWOgZWT-Jk,2023-10-30,Choc et pluie d'hommages après le décès de Matthew Perry • FRANCE 24,FRANCE 24,News & Politics,21000,133,B1
8_3F0PSoDfI,2021-11-21,French Conversation At the Hotel | Conversation en Français à l'Hôtel,CCube Academy,Education,308000,6000,B2
8nzRXxPnlPQ,2021-07-11,Comment le réchauffement climatique va bouleverser l’humanité (ft. Le Réveilleur),Le Monde,News & Politics,1000000,37000,B2
NfaeoCORuzk,2015-06-17,Le changement climatique : comprendre ses causes et ses conséquences pour mieux réagir,ademe,Nonprofits & Activism,772000,5000,A2
vn8rM-6sFnU,2022-10-30,"Seul au monde, Into the Wild… Mike Horn décrypte les scènes d’aventure | GQ",GQ France,Entertainment,292000,5000,B2
YBl_nJak4Ug,2021-01-04,"""Charlie Chaplin, le génie de la liberté"": l'histoire de la naissance du personnage du Charlot",LeHuffPost,Film & Animation,47000,775,B2
RF0GMFZPlsE,2022-08-19,Tuto Cuir : les outils pour bien débuter,Little Grey Leather,Howto & Style,10000,279,C1
wznkRjQfDGI,2022-11-27,L’Affaire Lady Diana,Gaspard G,News & Politics,715000,28000,B1
wfpAhIWLEzE,2022-07-17,L'Histoire de Vladimir Poutine,Gaspard G,News & Politics,1000000,37000,B2
1eqlTc1UGRg,2022-09-04,L'Histoire de Barack Obama,Gaspard G,News & Politics,1000000,36000,A2
rkFF_nZAtdY,2023-05-07,L'Histoire de Hillary Clinton,Gaspard G,News & Politics,164000,8000,B2
0t130YdUzX0,2023-02-19,L'Histoire de Xi Jinping,Gaspard G,News & Politics,400000,16000,A2
eG7yiX7vW7E,2023-01-20,Chat GPT va-t-il révolutionner le monde du travail ?,TF1 INFO,News & Politics,185000,1000,B2
BWmoEXCCraM,2022-07-18,Changement climatique - réchauffement climatique CP - CE1 - CE2 - CM1 - CM2 - Sciences - EMC,Maître Lucas,Education,44000,271,A2
nxwMlfTae5E,2022-11-17,Le football expliqué aux enfants - CP CE1 CE2 CM1 CM2 - Education physique et sportive - EPS,Maître Lucas,Education,181000,1000,B2
8020w5OPi2E,2022-12-04,Les dinosaures - CP - CE1 - CE2 - Cycle 2 - Questionner le monde - Sciences,Maître Lucas,Education,127000,569,B2
bmInd66I3U4,2023-06-15,La biodiversité CE2 - CE1 - CP - Cycle 2 - Questionner le monde - Le monde du vivant,Maître Lucas,Education,13000,64,B2
